points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
5.0,8.0,207000.0,3390.0,3.0,615,48,-2.0,525.0,1
0.0,0.0,172100.0,2303.0,3.0,590,105,50.0,0.0,1
125.0,251.0,204500.0,1703.0,2.0,610,1,29.0,0.0,0
0.0,0.0,184000.0,5216.0,5.0,838,88,44.0,2337.0,1
0.0,0.0,162500.0,1235.0,1.0,971,51,43.0,0.0,1
0.0,0.0,197500.0,3860.0,4.0,1023,83,66.0,1384.0,1
0.0,0.0,208000.0,4544.0,5.0,765,71,30.0,818.0,1
15.0,0.0,204000.0,3218.0,2.0,1115,6,49.0,38.0,0
5.0,0.0,231000.0,4156.0,2.0,800,83,52.0,799.0,1
0.0,0.0,160200.0,2258.0,2.0,936,13,37.0,28.0,0
0.0,0.0,188000.0,2821.0,2.0,765,125,62.0,210.0,1
0.0,0.0,191200.0,3540.0,2.0,1023,139,36.0,1586.0,1
0.0,0.0,54000.0,611.0,3.0,1612,129,49.0,536.0,1
26.0,29.0,269000.0,2377.0,2.0,909,17,25.0,55.0,0
0.0,0.0,227500.0,2649.0,2.0,989,104,43.0,127.0,1
7.0,0.0,5400.0,58.0,1.0,958,6,32.0,9.0,0
0.0,0.0,159700.0,2657.0,2.0,692,46,35.0,56.0,1
0.0,0.0,208000.0,5215.0,4.0,1699,107,47.0,1799.0,1
0.0,0.0,3100.0,196.0,1.0,714,122,39.0,18.0,1
6.0,2.0,100000.0,2061.0,3.0,457,10,2.0,109.0,0
7.0,0.0,10050.0,16.0,1.0,1133,6,39.0,18.0,0
14.0,1.0,61000.0,541.0,2.0,1496,9,9.0,177.0,0
8.0,-1.0,7300.0,128.0,1.0,1994,11,20.0,13.0,0
0.0,0.0,222000.0,3399.0,4.0,855,144,37.0,722.0,1
0.0,0.0,186500.0,4424.0,4.0,1812,79,50.0,1648.0,1
0.0,0.0,165700.0,2631.0,3.0,928,21,30.0,0.0,1
0.0,0.0,165700.0,3305.0,4.0,560,102,40.0,452.0,1
0.0,0.0,191000.0,3109.0,2.0,1038,119,23.0,43.0,1
10.0,1.0,183200.0,2876.0,3.0,1161,5,22.0,71.0,0
0.0,0.0,176500.0,2225.0,1.0,1079,23,50.0,14.0,1
0.0,0.0,233400.0,1375.0,2.0,819,44,2.0,0.0,1
0.0,-0.0,160500.0,2915.0,4.0,1557,50,10.0,34.0,1
0.0,0.0,184400.0,3407.0,3.0,692,81,39.0,581.0,1
0.0,0.0,182500.0,3567.0,5.0,796,117,20.0,1164.0,1
0.0,0.0,215000.0,452.0,1.0,920,95,13.0,32.0,1
0.0,0.0,8900.0,43.0,1.0,1685,55,49.0,51.0,1
10.0,1.0,167000.0,2835.0,4.0,1177,8,22.0,46.0,0
0.0,0.0,196500.0,1014.0,1.0,1557,125,30.0,7.0,1
0.0,0.0,170900.0,2648.0,3.0,673,70,17.0,326.0,1
0.0,0.0,145800.0,898.0,1.0,935,99,29.0,0.0,1
0.0,-0.0,43800.0,305.0,1.0,935,66,50.0,354.0,1
0.0,0.0,201000.0,1492.0,2.0,687,27,40.0,0.0,1
0.0,0.0,222000.0,1675.0,1.0,1612,164,30.0,740.0,1
0.0,0.0,152000.0,2343.0,3.0,660,29,19.0,2.0,1
0.0,-0.0,12800.0,1096.0,5.0,697,52,11.0,346.0,1
0.0,0.0,201500.0,1654.0,1.0,1192,20,35.0,0.0,1
0.0,0.0,178000.0,2757.0,3.0,861,18,26.0,11.0,0
0.0,0.0,208000.0,1829.0,1.0,1255,55,27.0,0.0,1
0.0,-0.0,212000.0,1465.0,1.0,1535,20,25.0,0.0,1
15.0,4.0,256000.0,1608.0,1.0,1416,139,47.0,167.0,1
0.0,-0.0,208500.0,1942.0,2.0,1309,23,42.0,219.0,1
0.0,0.0,157700.0,2909.0,3.0,899,132,68.0,728.0,1
50.0,6.0,26900.0,539.0,2.0,1198,1,33.0,0.0,0
0.0,0.0,197000.0,1762.0,1.0,1690,129,70.0,100.0,1
0.0,0.0,147000.0,1682.0,2.0,885,114,43.0,1059.0,1
30.0,40.0,203900.0,2000.0,2.0,714,13,35.0,132.0,0
0.0,0.0,223000.0,3353.0,3.0,929,185,26.0,0.0,1
0.0,-0.0,166000.0,1297.0,1.0,1206,43,21.0,0.0,1
0.0,0.0,178000.0,2710.0,4.0,844,119,31.0,1416.0,1
0.0,-0.0,218500.0,15.0,1.0,1994,113,11.0,238.0,1
0.0,0.0,170200.0,3687.0,5.0,1170,66,20.0,393.0,1
0.0,0.0,233500.0,1924.0,1.0,1255,129,28.0,0.0,1
0.0,0.0,173000.0,2174.0,2.0,1115,29,28.0,0.0,1
0.0,0.0,178700.0,2163.0,2.0,1045,154,31.0,0.0,1
0.0,-0.0,224500.0,5000.0,5.0,1731,92,12.0,1371.0,1
5.0,0.0,294000.0,2653.0,2.0,1566,82,37.0,193.0,1
5.0,4.0,244700.0,3380.0,2.0,978,55,22.0,179.0,1
0.0,-0.0,188000.0,2018.0,2.0,988,128,-2.0,311.0,1
125.0,297.0,205000.0,3130.0,3.0,376,1,7.0,0.0,0
0.0,0.0,148500.0,948.0,1.0,1632,97,21.0,0.0,1
0.0,-0.0,6000.0,184.0,1.0,900,131,27.0,46.0,1
0.0,0.0,36700.0,444.0,1.0,1175,104,50.0,279.0,1
0.0,-1.0,187000.0,3031.0,3.0,429,36,-21.0,0.0,1
5.0,3.0,194000.0,2320.0,3.0,975,53,30.0,62.0,1
0.0,0.0,165500.0,3446.0,5.0,1685,54,42.0,302.0,1
0.0,-0.0,162000.0,1044.0,1.0,926,127,17.0,39.0,1
0.0,0.0,41500.0,499.0,1.0,1703,56,27.0,294.0,1
0.0,0.0,117000.0,1469.0,4.0,659,134,30.0,190.0,1
0.0,0.0,210500.0,1532.0,1.0,1933,19,-3.0,0.0,0
0.0,0.0,162500.0,1381.0,2.0,1758,49,31.0,20.0,1
0.0,0.0,154000.0,2703.0,3.0,928,90,14.0,0.0,1
0.0,-0.0,160500.0,2000.0,1.0,1555,56,39.0,0.0,1
8.0,0.0,6400.0,79.0,1.0,1703,11,51.0,16.0,0
70.0,10.0,198000.0,1056.0,1.0,1685,2,32.0,0.0,0
0.0,0.0,203500.0,1948.0,1.0,1731,166,17.0,82.0,1
0.0,0.0,231000.0,2255.0,1.0,1689,157,45.0,141.0,1
0.0,0.0,219000.0,4618.0,5.0,933,68,33.0,780.0,1
0.0,0.0,170000.0,2437.0,3.0,1092,41,12.0,5.0,1
0.0,-0.0,147000.0,4730.0,5.0,1342,112,21.0,1925.0,1
5.0,0.0,201000.0,2732.0,3.0,1109,78,13.0,102.0,1
0.0,0.0,232000.0,1668.0,2.0,920,77,26.0,0.0,1
0.0,0.0,28200.0,318.0,1.0,1177,110,35.0,300.0,1
0.0,0.0,167000.0,1018.0,3.0,920,138,31.0,26.0,1
0.0,0.0,170000.0,2511.0,3.0,842,47,31.0,45.0,1
0.0,-0.0,15500.0,316.0,1.0,1557,165,33.0,159.0,1
5.0,0.0,274000.0,2729.0,2.0,854,68,12.0,505.0,1
13.0,16.0,237000.0,2663.0,2.0,864,22,18.0,0.0,1
0.0,0.0,194000.0,5207.0,4.0,896,70,35.0,1273.0,1
0.0,0.0,162100.0,2410.0,3.0,764,12,29.0,6.0,0
0.0,0.0,161000.0,1933.0,2.0,1713,23,31.0,0.0,1
0.0,0.0,163000.0,1287.0,1.0,1269,95,12.0,0.0,1
0.0,-0.0,17100.0,943.0,5.0,971,45,19.0,189.0,1
0.0,0.0,143100.0,2225.0,2.0,918,38,29.0,145.0,1
0.0,-0.0,185400.0,3810.0,5.0,676,24,28.0,324.0,1
0.0,-0.0,134000.0,2797.0,3.0,705,25,-8.0,159.0,1
0.0,0.0,175000.0,2007.0,2.0,882,50,15.0,0.0,1
0.0,0.0,204000.0,3295.0,5.0,1225,65,24.0,612.0,1
0.0,-1.0,198400.0,1717.0,2.0,498,89,23.0,842.0,1
2.0,0.0,131000.0,4000.0,5.0,1362,14,-6.0,175.0,0
0.0,0.0,189000.0,1866.0,2.0,1057,104,21.0,0.0,1
0.0,-0.0,60600.0,1497.0,2.0,975,39,26.0,386.0,1
3.0,0.0,188500.0,2719.0,3.0,779,8,-3.0,0.0,0
0.0,6.0,209000.0,2307.0,2.0,400,31,7.0,110.0,1
12.0,17.0,244000.0,3546.0,2.0,890,23,7.0,72.0,1
0.0,-0.0,92000.0,1081.0,1.0,1224,59,21.0,0.0,1
0.0,0.0,173200.0,3631.0,5.0,1170,96,35.0,1425.0,1
0.0,0.0,208000.0,3975.0,2.0,1713,27,25.0,270.0,1
0.0,0.0,228700.0,2898.0,3.0,1089,75,30.0,209.0,1
0.0,0.0,129400.0,3549.0,5.0,899,93,29.0,1569.0,1
0.0,0.0,179000.0,2686.0,3.0,882,62,18.0,40.0,1
25.0,2.0,152000.0,3951.0,5.0,852,4,21.0,35.0,0
0.0,12.0,156600.0,3260.0,4.0,873,91,28.0,1168.0,1
0.0,-0.0,105500.0,723.0,1.0,1812,97,6.0,23.0,1
0.0,0.0,109500.0,3571.0,5.0,1713,157,30.0,1527.0,1
0.0,0.0,140000.0,3369.0,5.0,1182,31,34.0,113.0,1
0.0,0.0,184500.0,1843.0,1.0,1804,88,12.0,14.0,1
0.0,0.0,178400.0,2819.0,4.0,772,19,44.0,16.0,0
1.0,0.0,158000.0,2305.0,2.0,910,10,11.0,0.0,0
0.0,0.0,27000.0,286.0,2.0,1038,98,44.0,243.0,1
0.0,-0.0,164000.0,1098.0,1.0,1040,116,23.0,19.0,1
0.0,0.0,165700.0,1917.0,2.0,896,167,30.0,178.0,1
0.0,0.0,167300.0,816.0,1.0,1115,114,34.0,69.0,1
0.0,0.0,4000.0,348.0,5.0,1182,14,62.0,46.0,0
0.0,0.0,215000.0,2752.0,3.0,792,78,4.0,846.0,1
0.0,-0.0,134200.0,721.0,1.0,1084,180,13.0,6.0,1
70.0,4.0,301000.0,3365.0,1.0,1959,2,22.0,267.0,0
0.0,0.0,216000.0,881.0,1.0,1269,110,13.0,0.0,1
0.0,0.0,169500.0,2290.0,2.0,941,113,38.0,758.0,1
17.0,23.0,246000.0,3895.0,2.0,959,23,36.0,54.0,1
0.0,0.0,142000.0,153.0,1.0,920,134,14.0,0.0,1
0.0,0.0,175000.0,4044.0,5.0,936,67,49.0,1339.0,1
0.0,0.0,190500.0,2092.0,2.0,1612,77,37.0,0.0,1
0.0,0.0,195500.0,3928.0,3.0,971,57,30.0,173.0,1
0.0,0.0,176000.0,3725.0,5.0,866,48,29.0,621.0,1
4.0,0.0,180500.0,1759.0,2.0,960,7,29.0,0.0,0
0.0,-1.0,6250.0,364.0,2.0,491,14,4.0,13.0,0
0.0,-0.0,83000.0,2085.0,5.0,975,42,31.0,435.0,1
0.0,-0.0,168000.0,2431.0,3.0,926,82,11.0,292.0,1
0.0,0.0,212500.0,3207.0,5.0,1170,65,46.0,529.0,1
0.0,0.0,116000.0,732.0,1.0,1689,83,59.0,24.0,1
0.0,0.0,205000.0,2214.0,4.0,878,84,53.0,1130.0,1
0.0,0.0,212000.0,3850.0,4.0,792,23,23.0,841.0,1
0.0,0.0,14500.0,333.0,3.0,1158,93,43.0,167.0,1
0.0,0.0,175000.0,3723.0,5.0,899,35,33.0,696.0,1
0.0,0.0,189000.0,1627.0,2.0,792,90,26.0,0.0,1
0.0,-0.0,60600.0,1497.0,2.0,975,38,26.0,384.0,1
0.0,-0.0,199000.0,1750.0,2.0,1535,90,26.0,7.0,1
0.0,-0.0,40500.0,344.0,2.0,1557,47,40.0,187.0,1
0.0,0.0,154000.0,2703.0,3.0,928,63,14.0,0.0,1
0.0,0.0,109400.0,3125.0,5.0,692,129,25.0,2072.0,1
0.0,-0.0,12600.0,129.0,1.0,882,96,19.0,54.0,1
0.0,0.0,19400.0,63.0,1.0,824,38,28.0,80.0,1
0.0,0.0,206000.0,2016.0,2.0,923,80,46.0,0.0,1
0.0,0.0,176300.0,2991.0,5.0,971,68,14.0,1077.0,1
0.0,0.0,177000.0,2272.0,2.0,844,143,9.0,0.0,1
0.0,0.0,255000.0,3532.0,3.0,1812,84,-3.0,662.0,1
6.0,1.0,192000.0,3000.0,2.0,1994,12,19.0,18.0,0
0.0,-0.0,196000.0,1609.0,2.0,1034,93,25.0,0.0,1
0.0,-1.0,200000.0,2668.0,2.0,540,75,29.0,94.0,1
0.0,0.0,100500.0,2212.0,2.0,917,39,31.0,0.0,1
0.0,-0.0,157000.0,1332.0,3.0,1177,73,49.0,15.0,1
18.0,2.0,177000.0,2560.0,3.0,935,3,33.0,8.0,0
0.0,0.0,146500.0,3618.0,5.0,799,145,19.0,1597.0,1
0.0,0.0,222000.0,5845.0,4.0,881,141,27.0,3081.0,1
0.0,0.0,177000.0,1549.0,3.0,621,95,47.0,91.0,1
0.0,-0.0,217000.0,4914.0,2.0,621,54,24.0,1310.0,1
