points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,7.0,178800.0,2321.0,3.0,873,53,16.0,0.0,1
0.0,0.0,193000.0,3703.0,5.0,885,141,54.0,2188.0,1
0.0,-0.0,6900.0,112.0,1.0,621,59,27.0,47.0,1
0.0,-0.0,224000.0,4910.0,5.0,1557,154,38.0,1709.0,1
0.0,0.0,147000.0,183.0,1.0,755,117,40.0,65.0,1
13.0,3.0,176000.0,2641.0,3.0,492,4,12.0,0.0,0
0.0,0.0,160000.0,1844.0,2.0,697,50,24.0,0.0,1
0.0,0.0,161900.0,2548.0,3.0,722,44,36.0,0.0,1
0.0,0.0,166700.0,3232.0,4.0,824,74,60.0,234.0,1
50.0,16.0,203500.0,3500.0,5.0,1994,3,32.0,87.0,0
0.0,0.0,158500.0,3623.0,4.0,899,54,33.0,436.0,1
3.0,0.0,194000.0,1763.0,1.0,1123,13,46.0,0.0,0
0.0,0.0,195500.0,3280.0,5.0,1520,17,30.0,23.0,0
0.0,0.0,52000.0,167.0,1.0,1685,24,28.0,307.0,1
10.0,1.0,179000.0,1479.0,2.0,958,5,53.0,0.0,0
0.0,-0.0,149000.0,3855.0,5.0,673,99,9.0,1485.0,1
0.0,0.0,163100.0,2243.0,2.0,668,153,36.0,638.0,1
0.0,0.0,182000.0,2558.0,3.0,898,48,23.0,56.0,1
0.0,0.0,10100.0,11.0,1.0,1108,106,39.0,84.0,1
0.0,0.0,189000.0,3309.0,2.0,844,90,37.0,490.0,1
0.0,0.0,171000.0,2605.0,3.0,910,34,14.0,3.0,1
0.0,0.0,188000.0,2432.0,3.0,798,145,25.0,440.0,1
0.0,0.0,187000.0,640.0,1.0,936,30,52.0,0.0,1
0.0,0.0,162500.0,1235.0,1.0,971,41,43.0,0.0,1
0.0,0.0,167800.0,892.0,1.0,616,74,43.0,0.0,1
0.0,0.0,163700.0,2677.0,3.0,1128,37,45.0,57.0,1
3.0,0.0,177000.0,2705.0,4.0,802,8,33.0,0.0,0
0.0,-0.0,213500.0,1484.0,1.0,1941,186,15.0,0.0,1
0.0,0.0,166100.0,2779.0,5.0,692,135,31.0,711.0,1
0.0,0.0,7100.0,87.0,2.0,1023,181,35.0,89.0,1
0.0,0.0,136000.0,2797.0,4.0,861,192,29.0,1800.0,1
0.0,0.0,154000.0,2703.0,3.0,928,153,50.0,767.0,1
0.0,5.0,25100.0,1010.0,5.0,873,17,1.0,260.0,0
5.0,0.0,294000.0,2143.0,2.0,1096,70,37.0,143.0,1
0.0,0.0,179000.0,2966.0,3.0,935,132,55.0,835.0,1
0.0,0.0,203000.0,1952.0,1.0,1959,172,15.0,44.0,1
0.0,-0.0,181000.0,1762.0,1.0,1437,41,27.0,0.0,1
0.0,8.0,200000.0,2245.0,2.0,526,21,46.0,47.0,1
0.0,0.0,209000.0,1967.0,2.0,1758,75,31.0,80.0,1
0.0,-0.0,165000.0,1170.0,1.0,1177,137,24.0,71.0,1
0.0,0.0,124000.0,1929.0,2.0,1056,179,38.0,510.0,1
0.0,0.0,177800.0,3610.0,5.0,660,95,35.0,1358.0,1
0.0,0.0,171800.0,1221.0,1.0,678,46,18.0,0.0,1
0.0,0.0,11200.0,617.0,5.0,935,80,11.0,200.0,1
0.0,0.0,186500.0,3216.0,3.0,1117,33,35.0,59.0,1
0.0,-0.0,166300.0,2976.0,3.0,1342,52,15.0,745.0,1
