points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,151800.0,4281.0,4.0,1584,104,50.0,2179.0,1
0.0,0.0,203000.0,369.0,1.0,817,107,36.0,23.0,1
0.0,0.0,175000.0,3667.0,4.0,835,131,57.0,1478.0,1
0.0,0.0,158000.0,2753.0,2.0,781,144,26.0,742.0,1
0.0,0.0,184300.0,2456.0,3.0,156,19,38.0,63.0,0
0.0,0.0,192000.0,1498.0,2.0,817,24,63.0,0.0,1
0.0,0.0,174000.0,1968.0,2.0,817,87,41.0,0.0,1
5.0,2.0,202100.0,3160.0,3.0,971,58,39.0,93.0,1
0.0,0.0,169900.0,808.0,1.0,1584,163,61.0,185.0,1
0.0,0.0,168400.0,1766.0,1.0,968,81,25.0,60.0,1
0.0,0.0,126000.0,692.0,1.0,835,61,24.0,0.0,1
38.0,85.0,258100.00000000003,4443.0,2.0,1042,13,43.0,108.0,0
0.0,0.0,196000.0,1764.0,2.0,817,144,37.0,1088.0,1
0.0,0.0,165000.0,1993.0,2.0,225,76,36.0,0.0,1
14.0,0.0,192900.0,3743.0,3.0,1551,9,34.0,52.0,0
0.0,0.0,18750.0,377.0,2.0,539,120,69.0,204.0,1
10.0,30.0,200700.0,1996.0,2.0,1584,10,49.0,0.0,0
0.0,0.0,137800.0,2413.0,5.0,1584,55,52.0,1072.0,1
0.0,0.0,192600.0,2109.0,2.0,1551,18,36.0,345.0,0
0.0,0.0,172800.0,1934.0,2.0,1584,88,35.0,823.0,1
2.0,0.0,219000.0,2144.0,2.0,1059,9,39.0,0.0,0
0.0,0.0,178000.0,3489.0,5.0,817,40,41.0,921.0,1
0.0,0.0,202200.0,1149.0,1.0,1551,26,42.0,0.0,1
0.0,0.0,218000.0,2503.0,3.0,1044,167,54.0,1059.0,1
0.0,0.0,172800.0,1934.0,2.0,1584,129,35.0,1005.0,1
0.0,0.0,213000.0,1777.0,2.0,835,169,29.0,911.0,1
0.0,0.0,191800.0,2473.0,4.0,789,145,36.0,600.0,1
5.0,0.0,256600.00000000003,1380.0,1.0,775,112,44.0,1215.0,1
0.0,0.0,138800.0,3782.0,5.0,789,83,25.0,1131.0,1
0.0,0.0,163760.0,3485.0,3.0,741,69,27.0,781.0,1
0.0,0.0,193200.0,255.0,1.0,968,155,63.0,0.0,1
0.0,0.0,165400.0,3291.0,5.0,704,11,36.0,20.0,0
0.0,0.0,74600.0,2456.0,5.0,835,27,37.0,252.0,1
0.0,0.0,177600.0,3006.0,3.0,225,23,43.0,64.0,1
0.0,0.0,162300.0,2755.0,1.0,968,57,50.0,619.0,1
0.0,0.0,175100.0,518.0,1.0,968,122,37.0,0.0,1
0.0,0.0,13900.0,4.0,1.0,1059,109,51.0,94.0,1
0.0,0.0,207920.0,2625.0,2.0,741,143,49.0,181.0,1
0.0,0.0,134800.0,3828.0,5.0,789,72,52.0,1136.0,1
0.0,0.0,208900.0,2949.0,2.0,1584,54,48.0,300.0,1
0.0,0.0,162000.0,2581.0,2.0,835,153,37.0,1105.0,1
0.0,0.0,165000.0,1993.0,2.0,225,12,36.0,0.0,0
0.0,0.0,176300.0,2526.0,5.0,1551,29,33.0,136.0,1
0.0,0.0,192700.0,3238.0,5.0,968,123,63.0,1741.0,1
0.0,0.0,151000.0,518.0,1.0,530,45,67.0,51.0,1
0.0,0.0,144900.0,3894.0,5.0,1584,114,64.0,1852.0,1
0.0,0.0,165100.0,4660.0,5.0,1551,122,52.0,2029.0,1
0.0,0.0,218000.0,4143.0,5.0,835,61,52.0,352.0,1
0.0,0.0,168000.0,3950.0,4.0,817,126,42.0,2090.0,1
38.0,70.0,253600.0,3290.0,2.0,770,11,63.0,194.0,0
0.0,0.0,9200.0,81.0,1.0,817,50,40.0,38.0,1
0.0,0.0,165400.0,2514.0,3.0,719,42,68.0,0.0,1
0.0,0.0,143200.0,4036.0,5.0,1551,85,30.0,1943.0,1
0.0,0.0,175100.0,518.0,1.0,968,135,37.0,0.0,1
0.0,0.0,162000.0,2581.0,2.0,835,106,38.0,202.0,1
0.0,0.0,142900.0,3554.0,5.0,981,108,31.0,1825.0,1
0.0,0.0,171500.0,1785.0,1.0,1551,69,44.0,8.0,1
0.0,0.0,162000.0,2581.0,2.0,835,129,37.0,834.0,1
0.0,0.0,188200.0,2437.0,2.0,704,60,47.0,0.0,1
5.0,15.0,294000.0,2154.0,2.0,1047,47,51.0,66.0,1
1.0,5.0,165700.0,5399.0,4.0,1584,15,38.0,294.0,0
22.0,28.0,194300.0,3092.0,3.0,915,15,31.0,10.0,0
0.0,0.0,153400.0,3741.0,5.0,968,57,60.0,615.0,1
0.0,0.0,165700.0,5399.0,4.0,1584,85,59.0,2193.0,1
0.0,0.0,176000.0,337.0,1.0,621,39,41.0,0.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,91,45.0,370.0,1
0.0,0.0,168200.0,2327.0,2.0,508,80,56.0,27.0,1
0.0,0.0,194100.0,2089.0,2.0,781,61,40.0,0.0,1
0.0,0.0,168000.0,4718.0,5.0,817,77,42.0,1678.0,1
0.0,0.0,12700.0,76.0,1.0,855,92,75.0,65.0,1
5.0,0.0,294000.0,2154.0,2.0,1047,96,51.0,361.0,1
0.0,0.0,188200.0,2437.0,2.0,704,142,47.0,3.0,1
0.0,0.0,137800.0,3472.0,4.0,719,18,55.0,196.0,0
0.0,0.0,169800.0,2956.0,2.0,789,46,41.0,5.0,1
0.0,0.0,182400.0,3441.0,5.0,1584,42,38.0,1173.0,1
0.0,0.0,211000.0,4654.0,4.0,855,118,47.0,1452.0,1
5.0,0.0,183700.0,1459.0,2.0,866,78,29.0,212.0,1
0.0,0.0,181000.0,2646.0,5.0,621,90,69.0,1040.0,1
0.0,0.0,188300.0,1316.0,3.0,1551,39,59.0,25.0,1
0.0,0.0,177600.0,2746.0,2.0,767,102,51.0,582.0,1
10.0,35.0,183000.0,5423.0,5.0,835,8,56.0,129.0,0
5.0,0.0,183700.0,1459.0,2.0,866,80,29.0,212.0,1
0.0,0.0,168000.0,4718.0,5.0,817,27,59.0,421.0,1
0.0,0.0,148400.0,2669.0,2.0,225,27,24.0,367.0,1
0.0,0.0,192900.0,3743.0,3.0,1551,18,34.0,63.0,0
0.0,0.0,202000.0,1831.0,2.0,835,67,49.0,19.0,1
0.0,0.0,179000.0,4483.0,5.0,1584,22,39.0,435.0,1
0.0,0.0,202200.0,1149.0,1.0,1551,34,42.0,0.0,1
0.0,0.0,181000.0,3977.0,4.0,968,64,44.0,1395.0,1
0.0,0.0,170000.0,522.0,1.0,530,59,49.0,0.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,132,45.0,551.0,1
0.0,0.0,133500.0,3471.0,4.0,1584,54,60.0,998.0,1
0.0,0.0,144900.0,3894.0,5.0,1584,170,65.0,2247.0,1
0.0,0.0,164500.0,3187.0,2.0,719,45,34.0,122.0,1
0.0,0.0,204000.0,2867.0,2.0,817,37,34.0,548.0,1
0.0,0.0,5120.0,39.0,1.0,508,83,48.0,33.0,1
0.0,0.0,219900.0,2477.0,3.0,1551,66,45.0,244.0,1
0.0,0.0,190100.0,2610.0,3.0,767,11,33.0,9.0,0
0.0,0.0,188800.0,3408.0,4.0,1182,84,36.0,1048.0,1
0.0,0.0,164500.0,3187.0,2.0,719,47,34.0,122.0,1
0.0,0.0,173700.0,1893.0,2.0,855,79,70.0,0.0,1
0.0,0.0,174000.0,304.0,1.0,530,54,41.0,0.0,1
0.0,0.0,208900.0,2949.0,2.0,1584,142,48.0,1095.0,1
0.0,0.0,161000.0,4153.0,5.0,835,36,69.0,663.0,1
0.0,0.0,7510.0,100.0,2.0,741,95,39.0,56.0,1
0.0,0.0,207000.0,2790.0,2.0,835,101,38.0,1278.0,1
0.0,0.0,179000.0,4483.0,5.0,1584,48,30.0,1180.0,1
0.0,0.0,168400.0,1766.0,1.0,968,135,63.0,291.0,1
0.0,0.0,133500.0,3471.0,4.0,1584,60,60.0,1047.0,1
0.0,0.0,17400.0,317.0,2.0,817,147,32.0,315.0,1
5.0,0.0,202100.0,3160.0,3.0,971,136,59.0,1010.0,1
0.0,0.0,179000.0,4483.0,5.0,1584,148,22.0,2114.0,1
0.0,0.0,194100.0,2089.0,2.0,781,107,48.0,0.0,1
5.0,0.0,272500.0,2289.0,2.0,759,73,52.0,530.0,1
0.0,0.0,213000.0,1777.0,2.0,835,56,30.0,0.0,1
0.0,0.0,150000.0,1817.0,2.0,817,120,49.0,464.0,1
0.0,0.0,178500.0,3418.0,4.0,1551,122,31.0,1881.0,1
50.0,40.0,180000.0,388.0,1.0,621,1,46.0,0.0,0
0.0,0.0,213000.0,1777.0,2.0,835,60,30.0,20.0,1
0.0,0.0,153000.0,1378.0,5.0,530,56,52.0,404.0,1
0.0,0.0,206300.0,2478.0,2.0,722,107,43.0,23.0,1
0.0,0.0,207000.0,2790.0,2.0,835,157,38.0,1493.0,1
0.0,0.0,193800.0,3261.0,2.0,719,82,52.0,262.0,1
