points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,178500.0,3418.0,4.0,1551,83,31.0,1499.0,1
50.0,100.0,230300.0,4057.0,2.0,787,8,57.0,182.0,0
0.0,0.0,153000.0,1378.0,5.0,530,12,52.0,92.0,0
6.0,0.0,181200.0,4120.0,5.0,968,10,36.0,97.0,0
0.0,0.0,193000.0,3610.0,3.0,1044,18,42.0,39.0,0
18.0,10.0,219000.0,2144.0,2.0,1059,3,39.0,0.0,0
0.0,0.0,165700.0,5399.0,4.0,1584,43,38.0,1516.0,1
0.0,0.0,138300.0,2278.0,4.0,968,16,32.0,0.0,0
5.0,5.0,204200.0,1666.0,2.0,749,39,36.0,90.0,1
0.0,0.0,172000.0,3626.0,5.0,817,140,56.0,1763.0,1
0.0,0.0,193800.0,3261.0,2.0,719,11,75.0,0.0,0
50.0,40.0,171400.0,3675.0,5.0,968,2,39.0,61.0,0
0.0,0.0,151700.0,4070.0,5.0,1551,155,52.0,2372.0,1
0.0,0.0,155200.0,3582.0,5.0,1182,12,67.0,73.0,0
0.0,0.0,162800.0,2799.0,3.0,719,97,32.0,963.0,1
0.0,0.0,167300.0,2865.0,3.0,781,14,41.0,0.0,0
0.0,0.0,168400.0,1766.0,1.0,968,141,63.0,328.0,1
0.0,0.0,171400.0,3675.0,5.0,968,80,30.0,814.0,1
13.0,25.0,25700.0,363.0,1.0,855,4,38.0,23.0,0
0.0,0.0,181200.0,4120.0,5.0,968,57,36.0,830.0,1
0.0,0.0,212400.0,1958.0,1.0,981,125,35.0,0.0,1
30.0,40.0,194300.0,3092.0,3.0,915,13,31.0,10.0,0
0.0,0.0,153000.0,2243.0,2.0,817,45,40.0,213.0,1
15.0,45.0,175000.0,3667.0,4.0,835,6,34.0,67.0,0
0.0,0.0,194600.0,3881.0,5.0,767,61,30.0,1220.0,1
0.0,0.0,173700.0,1893.0,2.0,855,12,70.0,0.0,0
13.0,0.0,178000.0,2729.0,3.0,508,4,33.0,2.0,0
0.0,0.0,175700.0,3091.0,2.0,719,19,49.0,2.0,0
0.0,0.0,196000.0,1764.0,2.0,817,79,37.0,122.0,1
18.0,30.0,158000.0,2753.0,2.0,781,3,37.0,0.0,0
2.0,0.0,166700.0,3538.0,5.0,722,9,35.0,13.0,0
12.0,40.0,213000.0,1777.0,2.0,835,7,30.0,0.0,0
0.0,0.0,179000.0,4483.0,5.0,1584,82,30.0,1784.0,1
100.0,120.0,129700.0,3364.0,5.0,1551,1,40.0,0.0,0
0.0,0.0,190100.0,2610.0,3.0,767,94,30.0,1639.0,1
15.0,20.0,257200.0,4342.0,2.0,1101,25,52.0,150.0,1
5.0,0.0,123400.0,2280.0,5.0,156,4,37.0,36.0,0
5.0,0.0,253600.0,3290.0,2.0,770,77,63.0,636.0,1
0.0,0.0,175000.0,3667.0,4.0,835,133,57.0,1478.0,1
1.0,2.0,191100.0,2018.0,2.0,781,10,54.0,31.0,0
4.0,10.0,173700.0,1893.0,2.0,855,7,70.0,0.0,0
70.0,140.0,230300.0,4057.0,2.0,787,6,57.0,182.0,0
0.0,0.0,208900.0,2949.0,2.0,1584,107,48.0,850.0,1
0.0,0.0,168800.0,3120.0,2.0,1584,103,46.0,1260.0,1
8.0,25.0,169900.0,808.0,1.0,1584,11,24.0,0.0,0
10.0,20.0,25700.0,363.0,1.0,855,5,38.0,28.0,0
0.0,0.0,203000.0,5852.0,5.0,835,16,42.0,207.0,0
0.0,0.0,142900.0,3554.0,5.0,981,24,31.0,558.0,1
46.0,70.0,257200.0,1362.0,1.0,747,11,53.0,270.0,0
0.0,0.0,117200.0,2465.0,2.0,981,115,36.0,1550.0,1
0.0,0.0,143200.0,4036.0,5.0,1551,93,30.0,2018.0,1
24.0,50.0,256600.00000000003,1380.0,1.0,775,18,44.0,336.0,0
0.0,0.0,18600.0,1070.0,5.0,835,24,58.0,235.0,1
