points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,0.0,214000.0,2474.0,2.0,621,114,33.0,0.0,1
0.0,-0.0,138000.0,1350.0,1.0,1492,39,11.0,63.0,1
0.0,0.0,211500.0,2541.0,2.0,1496,130,2.0,0.0,1
0.0,-0.0,153100.0,2817.0,5.0,1084,29,33.0,155.0,1
0.0,0.0,204400.0,2704.0,2.0,899,116,39.0,751.0,1
0.0,0.0,155000.0,2665.0,2.0,886,19,76.0,214.0,0
0.0,0.0,140000.0,1791.0,4.0,765,137,23.0,163.0,1
0.0,0.0,195100.0,2112.0,3.0,1036,123,47.0,153.0,1
0.0,-0.0,15500.0,316.0,1.0,1557,144,33.0,140.0,1
0.0,0.0,232000.0,4900.0,4.0,1058,51,55.0,1229.0,1
0.0,0.0,235000.0,3498.0,3.0,705,71,6.0,1453.0,1
80.0,100.0,238000.0,2881.0,2.0,896,1,39.0,0.0,0
0.0,-0.0,39000.0,1453.0,5.0,1849,58,3.0,339.0,1
0.0,0.0,170400.0,2364.0,2.0,1040,142,19.0,413.0,1
0.0,0.0,199000.0,4320.0,4.0,1058,167,39.0,1314.0,1
0.0,-0.0,162000.0,1529.0,2.0,1220,57,56.0,222.0,1
0.0,0.0,6500.0,184.0,1.0,1688,172,38.0,43.0,1
0.0,-0.0,189300.0,2065.0,2.0,960,148,39.0,530.0,1
0.0,0.0,213000.0,2267.0,2.0,882,94,13.0,0.0,1
0.0,0.0,183500.0,2210.0,3.0,1646,144,50.0,750.0,1
0.0,0.0,105500.0,1052.0,1.0,1362,126,25.0,5.0,1
0.0,-1.0,175200.0,2212.0,2.0,507,33,4.0,0.0,1
0.0,0.0,160700.0,1473.0,2.0,811,163,39.0,88.0,1
0.0,0.0,180500.0,4022.0,4.0,899,68,57.0,742.0,1
0.0,-0.0,230500.0,5245.0,5.0,1362,100,1.0,1853.0,1
80.0,52.0,218000.0,2766.0,4.0,997,1,11.0,0.0,0
18.0,2.0,88600.0,1012.0,4.0,847,3,32.0,0.0,0
0.0,0.0,210000.0,2380.0,2.0,936,122,33.0,678.0,1
70.0,130.0,257000.0,1318.0,1.0,727,8,54.0,20.0,0
0.0,-0.0,203000.0,5500.0,4.0,1804,112,18.0,2006.0,1
0.0,0.0,172700.0,2070.0,2.0,922,19,23.0,0.0,0
0.0,0.0,167000.0,1525.0,2.0,985,71,26.0,0.0,1
80.0,149.0,259500.0,1510.0,1.0,733,7,23.0,55.0,0
50.0,29.0,191900.0,3719.0,4.0,616,1,18.0,0.0,0
0.0,-0.0,219200.0,5218.0,5.0,1165,42,33.0,484.0,1
0.0,0.0,209000.0,684.0,1.0,878,178,44.0,259.0,1
0.0,0.0,40500.0,561.0,2.0,933,53,30.0,231.0,1
