Unnamed: 0,points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
51348,0.0,0.0,177600.0,2746.0,2.0,767.0,40.0,112.0,1.0
353113,0.0,0.0,168800.0,3120.0,2.0,1584.0,27.0,801.0,1.0
547555,5.0,8.0,202100.0,3160.0,3.0,971.0,21.0,16895.0,1.0
283154,5.0,0.0,273400.0,2185.0,2.0,918.0,23.0,850.0,1.0
105732,0.0,0.0,191000.0,5080.0,5.0,817.0,21.0,1334.0,1.0
516137,0.0,0.0,170900.0,2323.0,2.0,539.0,27.0,6471.0,1.0
233958,0.0,0.0,187200.0,2978.0,2.0,968.0,22.0,547.0,1.0
379573,0.0,0.0,177000.0,4019.0,5.0,817.0,25.0,2311.0,1.0
480400,0.0,0.0,165400.0,2514.0,3.0,719.0,25.0,1362.0,1.0
385392,0.0,0.0,208900.0,2949.0,2.0,1584.0,24.0,850.0,1.0
222296,14.0,16.0,224800.0,4147.0,2.0,724.0,38.0,249.0,1.0
92405,0.0,0.0,151800.0,4281.0,4.0,1584.0,28.0,2249.0,1.0
21837,0.0,0.0,170000.0,522.0,1.0,530.0,36.0,10774.0,1.0
175684,0.0,0.0,207920.0,2625.0,2.0,741.0,26.0,5156.0,1.0
317401,150.0,325.0,257200.0,1362.0,1.0,747.0,29.0,107.0,0.0
537196,0.0,0.0,152500.0,2795.0,4.0,855.0,30.0,1663.0,1.0
146107,5.0,8.0,184000.0,3107.0,3.0,688.0,34.0,504.0,1.0
379443,0.0,0.0,177000.0,4019.0,5.0,817.0,27.0,468.0,1.0
21864,0.0,0.0,170000.0,522.0,1.0,530.0,23.0,10010.0,1.0
488644,0.0,0.0,6820.0,10.0,1.0,539.0,37.0,307.0,1.0
441836,0.0,0.0,138800.0,3782.0,5.0,789.0,23.0,647.0,1.0
2927,0.0,0.0,161100.0,3394.0,5.0,722.0,25.0,3755.0,0.0
571476,5.0,5.0,207300.0,1616.0,2.0,677.0,26.0,166.0,1.0
337346,0.0,0.0,193200.0,255.0,1.0,968.0,27.0,14432.0,1.0
