_url,name,birth_year,weight,height,nationality
bruno-surra,Bruno  Surra,1964.0,70.88094004635316,177.8535231356297,Italy
gerard-rue,Gérard  Rué,1965.0,74.0,182.0,France
jan-maas,Jan  Maas,1996.0,69.0,189.0,Netherlands
nathan-van-hooydonck,Nathan Van Hooydonck,1995.0,78.0,192.0,Belgium
jose-felix-parra,José Félix  Parra,1997.0,55.0,171.0,Spain
manuel-penalver,Manuel  Peñalver,1998.0,67.0,177.0,Spain
willy-moonen,Willy  Moonen,1947.0,63.257444321873436,176.8923172040072,Belgium
chad-haga,Chad  Haga,1988.0,71.5,191.0,United States
joost-van-leijen,Joost van Leijen,1984.0,73.0,192.0,Netherlands
scott-davies,Scott  Davies,1995.0,75.01938818380113,185.95238405967896,Great Britain
stian-remme,Stian  Remme,1982.0,68.33846038590698,186.77508468714157,Norway
jose-angel-gomez-marchante,José Ángel  Gómez Marchante,1980.0,60.0,175.0,Spain
giuseppe-guerini,Giuseppe  Guerini,1970.0,65.0,178.0,Italy
evgueny-anachkine,Evgueny  Anachkine,1970.0,66.91263857472222,179.37308820613987,Russia
maurizio-biondo,Maurizio  Biondo,1981.0,71.13254936970363,182.5204396399775,Italy
rony-martias,Rony  Martias,1980.0,71.0,181.0,France
eloy-teruel,Eloy  Teruel,1982.0,73.0,181.0,Spain
julien-el-fares,Julien El Fares,1985.0,62.0,172.0,France
patrice-thevenard,Patrice  Thévenard,1954.0,62.32968040283738,167.8073418418476,France
michal-paluta,Michał  Paluta,1995.0,65.0,174.0,Poland
luc-suykerbuyk,Luc  Suykerbuyk,1964.0,67.65184927058824,177.21119300280202,Netherlands
fabien-grellier,Fabien  Grellier,1994.0,65.0,180.0,France
bernard-bourreau,Bernard  Bourreau,1951.0,63.0,164.0,France
volker-ordowski,Volker  Ordowski,1973.0,59.0,170.0,Germany
roy-schuiten,Roy  Schuiten,1950.0,83.0,184.0,Netherlands
graeme-brown,Graeme Allen  Brown,1979.0,76.0,180.0,Australia
alain-gallopin,Alain  Gallopin,1957.0,65.23523305283447,175.7918121108707,France
phillip-gaimon,Phillip  Gaimon,1986.0,67.0,185.0,United States
andrea-fedi,Andrea  Fedi,1991.0,70.0,184.0,Italy
urs-graf,Urs  Graf,1974.0,71.28404833988151,175.77732262290414,Switzerland
jean-claude-theilliere,Jean-Claude  Theillière,1944.0,67.21792962440965,176.03903009956264,France
paul-kimmage,Paul  Kimmage,1962.0,62.107408744755176,174.7569121006191,Ireland
piotr-przydzial,Piotr  Przydział,1974.0,80.0,186.0,Poland
alessandro-vanotti,Alessandro  Vanotti,1980.0,70.0,185.0,Italy
anthony-perez,Anthony  Perez,1991.0,70.0,190.0,France
morten-hulgaard,Morten  Hulgaard,1998.0,73.0,181.0,Denmark
andreas-dietziker,Andreas  Dietziker,1982.0,67.0,179.0,Switzerland
alejandro-paleo,Alejandro  Paleo,1981.0,74.03359281538077,183.5172616194629,Spain
thomas-gloag,Thomas  Gloag,2001.0,60.0,181.0,Great Britain
samuel-blanco,Samuel  Blanco,1994.0,58.27581086301221,169.94518219095465,Spain
sean-sullivan,Sean  Sullivan,1978.0,74.88589593362327,188.5236073459335,Australia
gaetano-baronchelli,Gaetano  Baronchelli,1952.0,72.80264101805858,189.1427148264678,Italy
mario-scirea,Mario  Scirea,1964.0,80.0,193.0,Italy
hector-palacio,Hector  Palacio,1969.0,63.0,167.0,Colombia
julien-mazet,Julien  Mazet,1981.0,72.35678688804346,186.18475997500445,France
roberto-giucolsi,Roberto  Giucolsi,1968.0,63.845957469863876,174.71534655644098,Italy
leonardo-guidi,Leonardo  Guidi,1974.0,65.65561447898153,170.06660056704627,Italy
