name_cyclist,name_race,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score,nationality
willy-moonen,dwars-door-vlaanderen/1970/result,-0.1826467444260946,9.4145625496519,650.466,0.3502072407863812,4880.04109913143,3.499719005008575,Belgium
chad-haga,gran-camino/2022/stage-2,-0.2668058469338666,13.824607329842934,592.9830000000001,0.5058553856522505,1627.9931418109545,62.99954931444774,United States
chad-haga,gran-camino/2022/stage-3,-0.2668058469338666,13.824607329842934,496.31375,0.6053902728560625,1627.9931418109545,59.49946063508032,United States
chad-haga,giro-d-italia/2020/stage-21,0.2920796454335042,13.024607329842931,51.04225,19.50160813931593,1627.9931418109545,88.20558113972164,United States
chad-haga,gran-camino/2022/stage-1,-0.2668058469338666,13.824607329842934,546.71475,0.5444843423747859,1627.9931418109545,69.99951489846012,United States
chad-haga,giro-d-italia/2019/stage-9,0.4318010185253469,12.624607329842933,116.89725,10.306295419859632,1627.9931418109545,109.90372242257348,United States
chad-haga,gran-camino/2023/stage-2,-0.2668058469338666,14.224607329842932,611.8705,0.3377098019090596,1627.9931418109545,12.599565698567115,United States
chad-haga,giro-d-italia/2020/stage-1,-0.1270844738420239,13.024607329842931,49.465,20.25985094805926,1627.9931418109545,112.69747514290378,United States
chad-haga,giro-d-italia/2016/stage-1,-0.0805106828114096,11.424607329842932,32.045750000000005,38.07670342758298,1627.9931418109545,130.19753538726087,United States
chad-haga,dauphine/2017/stage-4,0.1989320633722757,11.824607329842934,78.06174999999999,17.434866350554184,1627.9931418109545,114.80253955825582,United States
chad-haga,gran-camino/2023/stage-3,-0.2668058469338666,14.224607329842932,413.0215,0.5043753362385711,1627.9931418109545,13.299351363419122,United States
chad-haga,il-lombardia/2020/result,0.3863148230036206,13.024607329842931,771.61875,1.0209168350381048,1627.9931418109545,37.10050170756234,United States
chad-haga,vuelta-a-espana/2021/stage-21,0.6837345282942189,13.424607329842932,113.21675,12.11864617505848,1627.9931418109545,95.2060686496594,United States
chad-haga,giro-d-italia/2019/stage-21,6.264400852441007,12.624607329842933,56.81075,21.30344944185086,1627.9931418109545,98.81054825033718,United States
giuseppe-guerini,giro-d-italia/1998/stage-18,0.7678936308019909,11.419101123595508,388.13125,3.214441184160706,2559.4899635500587,63.702003200776,Italy
giuseppe-guerini,tour-de-romandie/1997/stage-4,0.7117875624634762,11.019101123595506,499.56375,2.47139941457482,2559.4899635500587,25.2014292922941,Italy
giuseppe-guerini,tour-de-france/2004/stage-16,1.168536993216162,13.819101123595509,57.6425,40.1742659481245,2559.4899635500587,104.32261684502998,Italy
giuseppe-guerini,tour-de-suisse/2003/stage-5,0.4228125389718904,13.419101123595508,596.825,1.486241212167509,2559.4899635500587,74.20071340698362,Italy
eloy-teruel,dauphine/2013/stage-4,-0.2668058469338666,12.641988950276245,106.4245,12.11815127667199,178.37450947272558,106.39753717679751,Spain
julien-el-fares,paris-nice/2011/stage-8,0.6276284599557042,10.616279069767442,414.69325,3.3514240086772054,2392.1421050713484,60.2015184559515,France
luc-suykerbuyk,giro-d-italia/1991/stage-8,0.1899435838188192,11.029054998584154,544.19425,2.2289200377318483,2591.454192022365,0.7003495894180713,Netherlands
luc-suykerbuyk,vuelta-a-espana/1989/stage-20,1.3183344413703493,10.229054998584154,156.35575,6.7787579087331,2591.454192022365,4.2083263227876015,Netherlands
roy-schuiten,tour-de-suisse/1975/stage-9b,0.7398405966327335,10.270652173913044,69.966,10.786465899900964,2417.659405873202,2.1108800087740103,Netherlands
