points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
100.0,120.0,192900.0,3743.0,3.0,1551.0,30.0,0.0,0.0
70.0,50.0,192900.0,3743.0,3.0,1551.0,35.0,13708.0,0.0
50.0,25.0,192900.0,3743.0,3.0,1551.0,30.0,13169.0,0.0
40.0,15.0,192900.0,3743.0,3.0,1551.0,32.0,11723.0,0.0
32.0,5.0,192900.0,3743.0,3.0,1551.0,24.0,10809.0,0.0
26.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,9784.0,0.0
22.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,9238.0,0.0
18.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,8387.0,0.0
14.0,0.0,192900.0,3743.0,3.0,1551.0,27.0,8116.0,0.0
10.0,0.0,192900.0,3743.0,3.0,1551.0,35.0,7849.0,0.0
8.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,7040.0,0.0
6.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,6614.0,0.0
4.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,6183.0,0.0
2.0,0.0,192900.0,3743.0,3.0,1551.0,23.0,6165.0,0.0
1.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,5912.0,0.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,60.0,0.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,63.0,0.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,63.0,0.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,69.0,0.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,35.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,72.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,76.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,102.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,149.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,25.0,222.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,238.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,36.0,258.0,1.0
