points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label,race_year
0,0.0,191800.0,2473.0,4.0,789,25.0,2117.0,0,2022
100,120.0,188300.0,1316.0,3.0,1551,30.0,0.0,1,2022
0,0.0,191000.0,5080.0,5.0,817,30.0,2641.0,0,2022
0,0.0,168000.0,3950.0,4.0,817,36.0,889.0,0,2022
0,0.0,152800.0,4160.0,5.0,781,30.0,220.0,0,2023
0,0.0,190000.0,3359.0,2.0,968,30.0,1412.0,0,2022
5,0.0,183700.0,1459.0,2.0,866,24.0,444.0,0,2023
0,0.0,177500.0,4155.0,5.0,767,22.0,1492.0,0,2022
12,0.0,201000.0,1150.0,1.0,817,28.0,14734.0,1,2022
0,0.0,134800.0,3828.0,5.0,789,36.0,147.0,0,2022
0,0.0,172000.0,3626.0,5.0,817,25.0,731.0,0,2022
0,0.0,219000.0,2144.0,2.0,1059,31.0,7002.0,0,2022
0,0.0,161000.0,4153.0,5.0,835,31.0,2097.0,0,2023
0,0.0,164600.0,2091.0,3.0,704,30.0,69.0,0,2023
0,0.0,6820.0,10.0,1.0,539,31.0,429.0,0,2023
0,0.0,175100.0,518.0,1.0,968,24.0,13695.0,1,2022
0,0.0,172800.0,1934.0,2.0,1584,28.0,823.0,0,2023
0,0.0,174100.0,2534.0,2.0,704,27.0,10263.0,0,2023
0,0.0,176900.0,3125.0,2.0,767,29.0,392.0,0,2022
0,0.0,193200.0,255.0,1.0,968,31.0,14613.0,0,2022
0,0.0,31900.0,96.0,1.0,789,26.0,475.0,0,2022
0,0.0,152600.0,4033.0,5.0,968,25.0,1942.0,0,2022
0,0.0,192000.0,1498.0,2.0,817,27.0,8798.0,0,2022
0,0.0,153000.0,1378.0,5.0,530,33.0,449.0,0,2023
30,40.0,173700.0,1893.0,2.0,855,32.0,14695.0,1,2023
0,0.0,134800.0,3828.0,5.0,789,26.0,1136.0,0,2022
7,15.0,258100.00000000003,4443.0,2.0,1042,34.0,410.0,0,2023
0,0.0,178000.0,2729.0,3.0,508,29.0,398.0,0,2022
0,0.0,193200.0,255.0,1.0,968,29.0,14484.0,0,2022
0,0.0,152500.0,2319.0,3.0,968,35.0,4431.0,0,2022
0,0.0,175700.0,3091.0,2.0,719,36.0,107.0,0,2023
0,0.0,18600.0,1070.0,5.0,835,40.0,602.0,0,2023
0,0.0,188200.0,2437.0,2.0,704,36.0,12489.0,1,2023
0,0.0,213000.0,1777.0,2.0,835,37.0,911.0,0,2023
0,0.0,152500.0,2795.0,4.0,855,29.0,1032.0,0,2023
0,0.0,202000.0,3092.0,3.0,1059,28.0,1194.0,0,2022
0,0.0,208900.0,2949.0,2.0,1584,29.0,850.0,0,2023
0,0.0,153400.0,3741.0,5.0,968,27.0,1465.0,0,2022
25,80.0,218000.0,4143.0,5.0,835,23.0,190.0,1,2023
0,0.0,185000.0,2348.0,2.0,835,27.0,1244.0,0,2023
0,0.0,171000.0,2529.0,2.0,835,27.0,9844.0,1,2023
0,0.0,213600.0,2878.0,2.0,1182,35.0,6426.0,0,2022
0,0.0,147900.0,4015.0,5.0,781,27.0,1919.0,0,2023
0,0.0,192000.0,1498.0,2.0,817,28.0,3762.0,0,2022
5,2.0,184000.0,3107.0,3.0,662,37.0,513.0,0,2022
0,0.0,171500.0,1785.0,1.0,1551,31.0,11814.0,0,2022
5,0.0,183700.0,1649.0,2.0,648,30.0,252.0,0,2022
0,0.0,134800.0,3828.0,5.0,789,26.0,1364.0,0,2022
0,0.0,161100.0,3394.0,5.0,722,23.0,734.0,0,2022
0,0.0,175100.0,518.0,1.0,968,23.0,13442.0,0,2022
0,0.0,35000.0,84.0,1.0,835,30.0,366.0,0,2023
